appid	name	playtime_forever	img_icon_url	img_logo_url	playtime_windows_forever	playtime_mac_forever	playtime_linux_forever	achievements	total_achievements	earned_achievements	is_multiplayer	genre	price	reviews
20	Team Fortress Classic	0	38ea7ebe3c1abbbbf4eabdbef174c41a972102b9	515bc393c861d91b9165f0697040c015f50bcb5e	0	0	0		0	0	True	FPS	67.99	Mostly Positive
50	Half-Life: Opposing Force	310	04e81206c10e12416908c72c5f22aad411b3aeef	bb696ddfd8f8ef0892d5f2154d8617528d3cc2ec	310	0	0		0	0	True	FPS	67.99	Very Positive
70	Half-Life	0	95be6d131fc61f145797317ca437c9765f24b41c	6bd76ff700a8c7a5460fbae3cf60cb930279897d	0	0	0		0	0	True	FPS	129.99	Overwhelmingly Positive
130	Half-Life: Blue Shift	141	b06fdee488b3220362c11704be4edad82abeed08	927d38e83e3e4ca218a0fc7b32515eeb99aa8ff7	141	0	0		0	0	False	FPS	67.99	Very Positive
220	Half-Life 2	169	fcfb366051782b8ebf2aa297f3b746395858cb62	e4ad9cf1b7dc8475c1118625daf9abd4bdcbcad0	169	0	0	0.18181818181818185	33	6	False	FPS	129.99	Overwhelmingly Positive
340	Half-Life 2: Lost Coast	0	795e85364189511f4990861b578084deef086cb1	867cce5c4f37d5ed4aeffb57c60e220ddffe4134	0	0	0		0	0	False	FPS	0.0	Very Positive
280	Half-Life: Source	556	b4f572a6cc5a6a84ae84634c31414b9123d2f26b	a612dd944b768e55389140298dcfda2165db8ced	556	0	0		0	0	False	FPS	129.99	Mixed
360	Half-Life Deathmatch: Source	0	40b8a62efff5a9ab356e5c56f5c8b0532c8e1aa3	9a5b7119d4e8977fffcd370d3c24036be7cee904	0	0	0		0	0				
320	Half-Life 2: Deathmatch	0	795e85364189511f4990861b578084deef086cb1	6dd9f66771300f2252d411e50739a1ceae9e5b30	0	0	0		0	0	True	FPS	67.99	Very Positive
380	Half-Life 2: Episode One	0	795e85364189511f4990861b578084deef086cb1	b5a666a961d8b39896887abbed3b78c2b837c238	0	0	0	0.0	13	0	False	FPS	104.99	Very Positive
4000	Garry's Mod	1418	4a6f25cfa2426445d0d9d6e233408de4d371ce8b	70ef9d2ec9f0f4560c3cb9fee6cc3665c93c8d0c	0	0	0	0.13793103448275862	29	4	True	Building	129.99	Overwhelmingly Positive
420	Half-Life 2: Episode Two	0	795e85364189511f4990861b578084deef086cb1	553e6a2e7a469dcbaada729baa1f5fd7764668df	0	0	0	0.0	22	0	False	FPS	104.99	Very Positive
500	Left 4 Dead	1082	428df26bc35b09319e31b1ffb712487b20b3245c	0f67ee504d8f04ecd83986dd7855821dc21f7a78	0	0	0	0.410958904109589	73	30	True	FPS	0.0	Very Positive
1250	Killing Floor	202	d8a2d777cb4c59cf06aa244166db232336520547	354c07a75cc16f6bf551b81d27f4eee3436fc2fb	0	0	0	0.042105263157894736	285	12	True	FPS	0.0	Very Positive
35420	Killing Floor Mod: Defence Alliance 2	0	ae7580a60cf77b754c723c72d5e31d530fbe7804	45178d4b1999cf466fdf1ee4551f29b7e02b2bdf	0	0	0	0.0	30	0	True	FPS	0.0	Mostly Negative
550	Left 4 Dead 2	20565	7d5a243f9500d2f8467312822f8af2a2928777ed	205863cc21e751a576d6fff851984b3170684142	367	0	0	0.5714285714285714	70	40	True	FPS	0.0	Overwhelmingly Positive
42910	Magicka	27	0eb97d0cd644ee08b1339d2160c7a6adf2ea0a65	8c59c674ef40f59c3bafde8ff0d59b7994c66477	0	0	0	0.05681818181818181	88	5	True	RPG	129.99	Mixed
620	Portal 2	991	2e478fc6874d06ae5baf0d147f6f21203291aa02	d2a1119ddc202fab81d9b87048f495cbd6377502	0	0	0	0.4117647058823529	51	21	False	Puzzle	129.99	Overwhelmingly Positive
105600	Terraria	2069	858961e95fbf869f136e1770d586e0caefd4cfac	783399da7d865b7b5b1560891b1e9463345e8fa9	0	0	0	0.3977272727272727	88	35	True	Adventure	129.99	Overwhelmingly Positive
72850	The Elder Scrolls V: Skyrim	4905	b9aca8a189abd8d6aaf09047dbb0f57582683e1c	c5af3cde13610fca25cd17634a96d72487d21e74	0	0	0	0.5733333333333334	75	43	False	RPG	315.0	Very Positive
104700	Super Monday Night Combat	29	5a5dd4420068a68f0d654edbfabf2bff5f8b3b0a	6c57677925f8b3658e315d3e40c1f928a7653ddf	0	0	0	0.0	4	0				
207610	The Walking Dead	0	87a13ae0a2a76488792924aa8bb0dd8a7760f931	6d756726214dd97c54966814d58508b86d5eabcf	0	0	0	0.0	48	0	False	Adventure	0.0	Very Positive
12750	GRID	0	c9367af908a9527040b41f6323aee4507bcba722	4d703d465e6e83f272ff07b3b9636fe52f2e9a19	0	0	0		0	0				
91310	Dead Island	1440	1df9ab123c2180d8933038be7578a21e2442befb	62632a275a4cc08f0238ed3d589ce1d8627fde91	0	0	0	0.4166666666666667	48	20				
12210	Grand Theft Auto IV	0	a3cf6a64c73f991898a9e34681d0db8226eaa191	47fb2a3e0763be24e49662591d6e076c58b2178d	0	0	0		0	0	True	Bowling	359.99	Mixed
12220	Grand Theft Auto: Episodes from Liberty City	0	603a444d9092d007f2d9640d12ebba62b1efc377	40d1512d5922313878298c3731ffc066091a113a	0	0	0		0	0	True	Adventure	359.99	Mixed
204300	Awesomenauts	120	4996933171d0804bd0ceb7b9a0e224b3139d18ba	2d92dc3a4b10e3e66340ebe53266b901e25ee52f	0	0	0	0.13559322033898305	59	8	True	MOBA	0.0	Mostly Positive
49520	Borderlands 2	1072	a3f4945226e69b6196074df4c776e342d3e5a3be	86b0fa5ddb41b4dfff7df194a017f3418130d668	0	0	0	0.17333333333333334	75	13	False	FPS	359.99	Very Positive
204360	Castle Crashers	834	9b7625f9b70f103397fd0416fd92abb583db8659	793216ec14c639bdaf2f0119c8cc408b8e9ad7b1	0	0	0	0.5	12	6	True	Adventure	299.99	Very Positive
7510	X-Blades	0	311b4363fd29a55fbdd23f515e409785b520b6e8	85bb604055343baeae32c8afe9bc51107bb31318	0	0	0		0	0	False	Hack and Slash	0.0	Mixed
57690	Tropico 4	0	8e58ca48b978439ba4986938247fdb21a645a673	9123d91a47399baf116c2949dcebcd42b1962fbe	0	0	0	0.0	70	0	False	City Builder	0.0	Mostly Positive
4230	Race: The WTCC Game	0	6e58478d15b247524a185384d54a1c5e7f46f530	ae3df7cdfd4f3cd906959e6fb8c49bb5a8c433ff	0	0	0		0	0	True	Racing	439.99	Mostly Positive
4290	RACE: Caterham Expansion	0	6e58478d15b247524a185384d54a1c5e7f46f530	ca2f3907d9490fee5820830b50c3754b45cd53e5	0	0	0		0	0	True	Racing	67.99	
8600	RACE 07	32	4934ef713f31d50f516e713fdeb38c2a87f7bfa4	2b735e9b03a2b5e72ac727a8cac0bc1b95b6027a	0	0	0		0	0	True	Racing	53.99	Very Positive
8640	RACE On	0	821174c7b09a7583b8593ea4702dc612d7334056	acdaf35df220c5f82e395253cdb53065bf89b6b4	0	0	0		0	0		Racing		
8650	RACE 07: Andy Priaulx Crowne Plaza Raceway	0			0	0	0		0	0	False	Racing	0.0	Mixed
8660	GTR Evolution	0	a232ecd42fe5b9dae1d52664fea75b804d23df4a	bec45b45a4fdc8c517131fa78d9b502539347bd4	0	0	0		0	0	True	Racing	104.99	Positive
8690	STCC: The Game	0	ee464bbd11413db29255d2bd44963d401059d6ec	0e70419edd2434aef790763d026e7d75a7d9052d	0	0	0		0	0	True	Racing	39.99	Positive
8790	GTR 2 - FIA GT Racing Game	0	ec67f9df6d27117b8f71910cc93c6533127e2706	031f5b080cea2036701cc75098c6a8bb23831f30	0	0	0		0	0	True	Racing	104.99	Very Positive
44600	GTR - FIA GT Racing Game	0	6744be21990e56e870552475acd37b7f4a168b73		0	0	0		0	0	True	Racing	94.99	Mixed
44620	STCC II	0	f69db2946f486b4dffe2e999b4619ac1957fc546	0b950f4974aaca9b421773a6d5ab393e3638d04f	0	0	0		0	0	True	Racing	53.99	Positive
44630	RACE 07 - Formula RaceRoom Add-On	0	a638f775e454c77b2cc06df20049ce0a09c6794f	2b03526ffc33573d715a0e7a2f2b339c9fc25a25	0	0	0		0	0				
